Priority,Difficulty(kyu),Title,Link,Tag,Grammar,Solution
2,5,Decimal to Factorial and Back,https://www.codewars.com/kata/decimal-to-factorial-and-back,Dict/Map,encode & decode,[HTML](./html/Decimal-to-Factorial-and-Back.html)
2,5,Where my anagrams at,https://www.codewars.com/kata/523a86aa4230ebb5420001e1/r,Array,`filter()`,[HTML](./html/Where-my-anagrams-at.html)
2,6,Your order please,https://www.codewars.com/kata/55c45be3b2079eccff00010f,Array,`sort()`,[HTML](./html/Your-order-please.html)
1,7,Get the Middle Character,https://www.codewars.com/kata/56747fd5cb988479af000028,String,`median()`,[HTML](./html/Get-the-Middle-Character.html)
1,6,Detect Pangram,https://www.codewars.com/kata/545cedaa9943f7fe7b000048,Array,vectorization,[HTML](./html/Detect-Pangram.html)
0,5,Number of trailing zeros of N!,https://www.codewars.com/kata/52f787eb172a8b4ae1000a34,Algorithm,"",[HTML](./html/Number-of-trailing-zeros-of-N!.html)
0,7,Vowel Count,https://www.codewars.com/kata/54ff3102c1bad923760001f3,Grammar,`count()`,[HTML](./html/Vowel-Count.html)
0,6,Stop gninnipS My sdroW!,https://www.codewars.com/kata/5264d2b162488dc400000001,Algorithm,vectorization,[HTML](./html/Stop-gninnipS-My-sdroW!.html)
1,7,Highest and Lowest,https://www.codewars.com/kata/554b4ac871d6813a03000035,Grammar,`@pipe`,[HTML](./html/Highest-and-Lowest.html)
2,6,Counting Duplicates,https://www.codewars.com/kata/54bf1c2cd5b56cc47f0007a1,Dict/Map,counter,[HTML](./html/Counting-Duplicates.html)
2,6,Duplicate Encoder,https://www.codewars.com/kata/54b42f9314d9229fd6000d9c,Dict/Map,counter,[HTML](./html/Duplicate-Encoder.html)
2,4,Magnet particules in boxes,https://www.codewars.com/kata/56c04261c3fcf33f2d000534,Grammar,combination,[HTML](./html/Magnet-particules-in-boxes.html)
0,5,Primes in numbers,https://www.codewars.com/kata/54d512e62a5e54c96200019e,Algorithm,"",[HTML](./html/Primes-in-numbers.html)
1,4,Rectangle Rotation,https://www.codewars.com/kata/5886e082a836a691340000c3,Algorithm,"",[HTML](./html/Rectangle-Rotation.html)
1,5,RGB To Hex Conversion,https://www.codewars.com/kata/513e08acc600c94f01000001,Grammar,base conversion,[HTML](./html/RGB-To-Hex-Conversion.html)
1,5,Mean without outliers,https://www.codewars.com/kata/5962d557be3f8bb0ca000010,Algorithm,`while` loop,[HTML](./html/Mean-without-outliers.html)
1,7,Credit Card Mask,https://www.codewars.com/kata/5412509bd436bd33920011bc,Regular Expression,"",[HTML](./html/Credit-Card-Mask.html)
1,7,Descending Order,https://www.codewars.com/kata/5467e4d82edf8bbf40000155,Pipe,pipe,[HTML](./html/Descending-Order.html)
1,6,Split Strings,https://www.codewars.com/kata/515de9ae9dcfc28eb6000001,Regular Expression,"",[HTML](./html/Split-Strings.html)
1,6,Count the smiley faces,https://www.codewars.com/kata/583203e6eb35d7980400002a,Regular Expression,"",[HTML](./html/Count-the-smiley-faces.html)
0,4,Twice linear,https://www.codewars.com/kata/5672682212c8ecf83e000050,Algorithm,"",[HTML](./html/Twice-linear.html)
1,5,Simple Pig Latin,https://www.codewars.com/kata/520b9d2ad5c005041100000f,Regular Expression,"",[HTML](./html/Simple-Pig-Latin.html)
2,5,Moving Zeros To The End,https://www.codewars.com/kata/52597aa56021e91c93000cb0,Array,concatenate,[HTML](./html/Moving-Zeros-To-The-End.html)
1,6,Convert string to camel case,https://www.codewars.com/kata/517abf86da9663f1d2000003,Regular Expression,"",[HTML](./html/Convert-string-to-camel-case.html)
0,6,Take a Ten Minutes Walk,https://www.codewars.com/kata/54da539698b8a2ad76000228,Grammar,`all()`,[HTML](./html/Take-a-Ten-Minutes-Walk.html)
1,6,Highest Scoring Word,https://www.codewars.com/kata/57eb8fcdf670e99d9b000272,ACSII,"",[HTML](./html/Highest-Scoring-Word.html)
